"","x","radius","MS","kAQP","kr","Kx","Kr"
"1",1,0.1887,"T1",6.3657e-07,6.57425665379215e-08,2.07062137483907e-11,7.79445249467494e-11
"2",2,0.1887,"T1",6.3657e-07,6.66580484841849e-08,2.37933103747099e-11,7.90299222647515e-11
"3",3,0.1887,"T1",6.3657e-07,6.75735304304484e-08,2.73406633132665e-11,8.01153195827535e-11
"4",4,0.1887,"T1",6.3657e-07,6.84890123767119e-08,3.14168923381056e-11,8.12007169007556e-11
"5",5,0.1887,"T1",6.3657e-07,6.94044943229753e-08,3.61008477693074e-11,8.22861142187576e-11
"6",6,0.1887,"T1",6.3657e-07,7.03199762692388e-08,4.14831357486611e-11,8.33715115367597e-11
"7",7,0.1887,"T1",6.3657e-07,7.12354582155023e-08,4.76678709192226e-11,8.44569088547617e-11
"8",8,0.1887,"T1",6.3657e-07,7.21509401617657e-08,5.47746904124768e-11,8.55423061727638e-11
"9",9,0.1887,"T1",6.3657e-07,7.30664221080292e-08,6.294106810155e-11,8.66277034907658e-11
"10",10,0.1887,"T1",6.3657e-07,7.39819040542926e-08,7.23249738872381e-11,8.77131008087679e-11
"11",11,0.1887,"T1",6.3657e-07,7.48973860005561e-08,8.3107929457919e-11,8.87984981267699e-11
"12",12,0.1887,"T1",6.3657e-07,7.58128679468196e-08,9.54985196337718e-11,8.9883895444772e-11
"13",13,0.1887,"T1",6.3657e-07,7.6728349893083e-08,1.09736427218533e-10,9.0969292762774e-11
"14",14,0.1887,"T1",6.3657e-07,7.76438318393465e-08,1.26097069408706e-10,9.20546900807761e-11
"15",15,0.1887,"T1",6.3657e-07,7.85593137856099e-08,1.44896925446636e-10,9.31400873987781e-11
"16",16,0.1887,"T1",6.3657e-07,7.94747957318734e-08,1.66499658575241e-10,9.42254847167802e-11
"17",17,0.1887,"T1",6.3657e-07,8.03902776781369e-08,1.91323150717104e-10,9.53108820347822e-11
"18",18,0.1887,"T1",6.3657e-07,8.13057596244003e-08,2.1984758595633e-10,9.63962793527843e-11
"19",19,0.1887,"T1",6.3657e-07,8.22212415706638e-08,2.52624739189522e-10,9.74816766707863e-11
"20",20,0.1887,"T1",6.3657e-07,8.31367235169273e-08,2.90288649624975e-10,9.85670739887884e-11
"21",21,0.1887,"T1",6.3657e-07,8.40522054631907e-08,3.33567885597591e-10,9.96524713067904e-11
"22",22,0.1887,"T1",6.3657e-07,8.49676874094542e-08,3.83299637949312e-10,1.00737868624792e-10
"23",23,0.1887,"T1",6.3657e-07,8.58831693557176e-08,4.40445914596564e-10,1.01823265942795e-10
"24",24,0.1887,"T1",6.3657e-07,8.67986513019811e-08,5.06112149551413e-10,1.02908663260797e-10
"25",25,0.1887,"T1",6.3657e-07,8.77141332482446e-08,5.81568586368152e-10,1.03994060578799e-10
"26",26,0.20804518235702,"T1",6.3657e-07,8.61462913890003e-08,7.58191084346568e-10,1.12605942223531e-10
"27",27,0.265802959088927,"T1",6.3657e-07,7.96474590494388e-08,1.27003686686889e-09,1.33014441870219e-10
"28",28,0.339595525644939,"T1",6.3657e-07,7.10902550413328e-08,2.36208762682515e-09,1.5168376207967e-10
"29",29,0.433874481432991,"T1",6.3657e-07,5.99032315189973e-08,5.02149896281952e-09,1.63298207902537e-10
"30",30,0.554327284734507,"T1",6.3657e-07,4.53562945354e-08,1.26632884523645e-08,1.57968641114067e-10
